Day,Date,Activity,,,,,,,,,,,,,,,,,,,,,,,
Thursday,07/14/2022,"Slept after dtec. Went to play cricket with Maanas, Mrudav, Varun, and Nathan. Watched match a bit and slept",,,,,,,,,,,,,,,,,,,,,,,
Friday,07/15/2022,"Bua,Pupaji,Priyanka and Co came over. Had amazing food. Played Wii, ate a lot, got emirates ID and papa picked me up from office. Played a bit of ps4 at night",,,,,,,,,,,,,,,,,,,,,,,
Saturday,07/16/2022,"mama left to India. Came back home, watched a show. Went to COCACOLA  Arena and watched Saleem-Sulaiman and others perform. It was amazing. Idea: me singing and ria dancing orignated today. Lets see if it happns in the future",,,,,,,,,,,,,,,,,,,,,,,
Sunday,07/17/2022,"cardio, chilled with Ria, had chicken with her and watched sidemen, sent ubc emails and course stuff. PAPAS CANADA APPLICATION SENT, gymmed, watched  indias match with papa, played little bit ps4 and slept.",,,,,,,,,,,,,,,,,,,,,,,
Monday,07/18/2022,came with Reena who had a small car problem. Went to dentist with papa. Had Falafel sandwich. ,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,07/19/2022,"Came from dtec with Reena. Walked from Mai Tower. Went for short gym with Nathan. Swam with Maanas, Nathan, Advik, Mrudav. Ate at Jabal Al Noor.",,,,,,,,,,,,,,,,,,,,,,,
Wednesday,07/20/2022,"went to Adviks house in the morning. Played valo, watched a movie and ate Pizza. short gym sesh, met Umang and Nikki. Played Wii, codenames and ate chinchaus",,,,,,,,,,,,,,,,,,,,,,,
Thursday,07/21/2022,Took a horrible bus while coming back. slept then went to the gym. Played Mario with Ria,,,,,,,,,,,,,,,,,,,,,,,
Friday,07/22/2022,"Omar said to work from home. Played Stray, got my vaccination done, went to Bua's house in the evening, played codenames",,,,,,,,,,,,,,,,,,,,,,,
Saturday,07/23/2022,"Went to meet Hamdan, Siraj Mehek, Vignesh and Mehek. Went for swimming with Papa in the evening. Played Mario bros with Ria then Slept",,,,,,,,,,,,,,,,,,,,,,,
Sunday,07/24/2022,"Went for CPR training, slept for 2 hours, went to Cairopractioner, corrected spine to an extent, met advik and mrudav, had shawarma, played a bit of stray and slept.",,,,,,,,,,,,,,,,,,,,,,,
Monday,07/25/2022,"azizi asks for us to pay property, ",,,,,,,,,,,,,,,,,,,,,,,
Tuesday,07/26/2022,papa and I go to Hitesh in the morning to check azizi. Mama comes back. I spend time with mama,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,07/27/2022,"came back from dtec, went to gym, went with advik, mrudav, and Aditya to mamzar when it was drizlling.",,,,,,,,,,,,,,,,,,,,,,,
Thursday,07/28/2022,"went to A5 sleeping pod and slept for a few hours. mama, papa, ria went to Azizi to discuss about the house. Mama got hairline sprain. went to adviks house becuase no keys. came back and put a movie for mama, papa, ria. went to the gym and met nakul after.",,,,,,,,,,,,,,,,,,,,,,,
Friday,07/29/2022,"dadi's 16th death anniversary.  paid 86,000 to azizi, played wii with mama and ria, watched india vs wi t20 and had shawarma and foodles.",,,,,,,,,,,,,,,,,,,,,,,
Saturday,07/30/2022,"went to Sahara, selected Rias shoes and bought some stuff for us. Had kfc.",,,,,,,,,,,,,,,,,,,,,,,
Sunday,07/31/2022,"want to meet salem, had filipino food, played ps4 and watched sidemen. Met bua pupaji in the evening.",,,,,,,,,,,,,,,,,,,,,,,
Monday,08/01/2022,"went to dtec, came back early with mama papa, doing VSE tasks, played valo, went to the gym with dwayne and introduced him to nakul.",,,,,,,,,,,,,,,,,,,,,,,
